YEAR;EQ_PRIMARY;INTENSITY;COUNTRY;LATITUDE;LONGITUDE;DEATHS
510;6.3;8;SOUTH KOREA;35.5;129.1;0
512;7.5;10;CHINA;39.4;113.3;5130
518;0;12;MACEDONIA;42;21.4;0
521;0;0;GREECE;39.6;21.2;0
522;0;10;SYRIA;36.2;36.1;0
522;0;10;ALBANIA;41.2;19.3;0
525;7;9;TURKEY;36.25;36.1;250000
527;0;10;GREECE;40.1;20.8;0
528;7.1;10;TURKEY;36.25;36.1;4870
533;0;0;SYRIA;36.2;37.2;130000
543;6.8;10;TURKEY;40.3;27.8;0
551;0;10;LEBANON;33.9;35.5;0
551;7.1;9;GREECE;38.4;22.3;5000
552;0;10;SYRIA;36.1;37.1;0
553;0;10;LEBANON;33.9;35.5;0
554;7;0;GREECE;36.8;27.3;0
555;0;10;TURKEY;41.04;28.98;0
557;0;10;TURKEY;36.1;36.1;0
557;0;0;TURKEY;40.9;27.6;0
557;7;9;TURKEY;40.9;27.6;0
558;7;9;TURKEY;40.9;28.8;0
558;0;10;ITALY;43.6;13.5;0
565;0;0;TURKEY;36.2;36.1;30000
567;0;10;SLOVENIA;45.6;15.3;0
579;0;0;TURKEY;36;36;0
581;0;9;TURKEY;36.1;36.1;0
587;0;9;TURKEY;36.25;36.1;60000
600;0;7;CHINA;34.3;108.9;101
614;0;0;ITALY;41;15;1000
634;0;0;IRAN;38;46.2;0
649;5.5;7;CHINA;36.1;111.5;50
662;0;0;IRAN;35.3;54;40000
664;6.3;8;SOUTH KOREA;35.5;129.1;0
678;0;7;IRAQ;35;43.5;0
684;8.4;0;JAPAN;32.5;134;0
688;0;9;TURKEY;38.4;27.2;2000
701;7;0;JAPAN;35.7;135.4;0
704;7;0;JAPAN;33.8;136.7;0
713;0;7;TURKEY;36;36;0
715;0;9;TURKEY;40.4;28.9;0
716;0;0;TURKEY;36;36;0
734;7;9;CHINA;34.6;105.6;101
735;5.8;8;ARMENIA;39.7;45.5;0
740;7.3;9;TURKEY;40.7;29.3;0
742;0;0;SYRIA;35;38;0
743;7.2;9;IRAN;35.3;52.2;0
743;5.5;7;RUSSIA;42.1;48.2;0
744;6.4;0;JAPAN;32.4;130.5;0
745;6.5;0;JAPAN;34.6;135.3;0
745;7.9;0;JAPAN;35.5;136.9;0
746;7;11;ISRAEL;32;35.5;0
748;0;0;SYRIA;33.5;36.3;0
749;0;10;IRAQ;35;43.5;0
758;0;7;ISRAEL;31.2;34.2;0
763;7.6;0;IRAN;33.3;59.3;0
766;6.5;0;JAPAN;31.6;130.7;0
777;0;8;CHINA;37.8;115.2;200
778;0;0;CHINA;28.1;111.4;0
778;5.6;0;ITALY;45.4;12.2;48
780;6.3;8;SOUTH KOREA;35.5;129.1;100
788;6.5;8;CHINA;32.5;109.4;0
793;0;0;ITALY;45.5;11;0
796;0;10;GREECE;35;25;0
801;0;10;ITALY;41.9;12.6;0
802;0;10;ITALY;45.4;11.9;0
803;0;0;TURKEY;36.95;35.6;0
811;0;0;UK;56.3;-2.8;1400
814;7;0;CHINA;27.9;102.2;101
818;7.9;0;JAPAN;35.2;139.3;0
818;7.5;8;AFGHANISTAN;36.8;66.2;0
820;0;0;CHINA;37.4;112.6;20
835;0;9;TURKEY;36;36;0
838;0;0;UZBEKISTAN;40.4;71.3;15000
842;0;0;UK;49.5;-2.5;0
844;0;8;SYRIA;33.5;36.3;50000
845;0;0;IRAQ;36.2;43.1;50000
846;0;8;TURKEY;36.1;36.1;0
847;0;0;SYRIA;33.5;36.3;0
847;0;10;IRAQ;36.21;42.08;70000
847;0;10;ITALY;41.6;14.2;0
850;0;0;IRAN;35.3;51.2;45000
850;7;0;JAPAN;39;139.9;0
851;5.2;8;ARMENIA;40;44.6;12000
853;0;10;ITALY;41.5;14.5;0
854;0;10;TUNISIA;35.7;10.1;0
854;0;0;ARMENIA;40;45;2000
854;0;8;FRANCE;50.1;3.1;0
855;0;0;IRAN;35.3;51.2;0
856;7.9;10;IRAN;36.2;54.3;200000
856;0;10;TUNISIA;36.8;10.2;45000
856;0;0;GREECE;37.9;22.9;45000
856;4.5;8;ARMENIA;40;44.6;0
858;0;0;IRAN;38;46.2;0
858;5.2;0;TURKEY;40;44.6;12000
859;0;11;TURKEY;36;36;0
860;0;8;IRAQ;33;44.5;0
863;0;0;IRAN;35.3;51.2;0
863;7;0;JAPAN;37.1;138;0
863;0;0;IRAN;38;46.2;0
863;4.9;0;TURKEY;40;44.6;0
864;0;0;IRAN;35.3;51.2;0
867;0;10;TURKEY;41;29;0
869;8.6;0;JAPAN;38.5;143.8;0
871;6.8;7;IRAN;33.2;47.2;20000
876;6.5;8;CHINA;37.8;105.9;0
881;0;10;ALGERIA;30;-6;0
885;0;10;EGYPT;30;31.1;1000
887;8.6;0;JAPAN;33;135.3;0
887;6.5;0;JAPAN;37.5;138.1;0
891;6.3;9;IRAN;38.3;48.3;0
893;0;10;ARMENIA;40;44.6;150000
894;5.3;0;ITALY;45.3;11;0
896;0;10;MACEDONIA;41.7;22.9;0
896;0;0;ITALY;41.9;12.6;0
898;0;0;IRAN;35.3;51.2;0
910;0;0;IRAQ;33.2;44.2;0
912;0;0;IRAN;34.6;47.8;0
922;7;0;JAPAN;33.8;136.7;0
942;0;0;IRAN;36;51.7;0
942;6.7;9;UZBEKISTAN;39.7;64.5;0
943;0;0;TURKMENISTAN;38;58.3;5000
951;0;9;SYRIA;36.1;37.1;0
953;7.1;10;TURKMENISTAN;38;58.3;0
956;0;0;IRAN;34.9;48.4;0
957;0;7;IRAQ;34.8;44.8;0
957;0;0;IRAN;35.7;51.4;0
958;0;0;IRAQ;33.2;44.2;0
958;0;0;IRAN;35.3;51.2;0
963;0;11;ITALY;38;15;0
972;0;9;TURKEY;36.1;36.1;0
977;0;0;IRAN;27.4;52.2;0
978;5.3;7;IRAN;27.7;52.3;2000
985;0;0;ITALY;41.1;14.8;0
986;0;8;IRAQ;36.2;43.1;0
990;0;10;ITALY;41.1;14.8;0
991;0;9;SYRIA;33.5;36.3;0
999;0;0;CHINA;29;112;0
999;5.5;7;CHINA;31.8;119.9;0
1000;0;0;CHINA;35;110;62
1000;0;8;SLOVENIA;46;14.5;0
1001;0;0;CHINA;34.3;109;60
1001;6;0;ITALY;45.3;11;0
1003;4.2;7;TURKEY;40.5;43.3;0
1003;0;0;FRANCE;47;6;0
1007;0;8;IRAQ;33.2;44.2;16000
1008;6.5;0;IRAN;27.665;52.348;16000
1010;0;10;TURKEY;41;29.5;0
1013;0;10;ICELAND;64;-21;11
1021;0;9;SWITZERLAND;47.5;7.6;0
1022;6.5;8;CHINA;39.8;113.1;0
1026;7.5;0;JAPAN;34.8;131.8;0
1033;0;10;SYRIA;33;35;70000
1036;5.7;7;NORTH KOREA;37.6;126.3;0
1037;0;0;CHINA;32;119;22391
1038;7.3;10;CHINA;38.4;112.9;32300
